date,time,open,high,low,close,volume
Nov-18-2020,17769.081098984,18139.036177408,17395.282348173,17806.276919319,61088362075.88866,330660347306.1966
Nov-17-2020,17664.951637795,18475.035135983,17395.811764732,17827.839147466,72012568910.56276,331419792599.43823
Nov-16-2020,16703.980983878,17829.764716014,16577.525090457,17683.759275981,45999622881.28087,316502527418.307
Nov-15-2020,15948.492682357,16842.984015706,15884.87538072,16725.110727362,32816346805.621357,303249393769.39136
Nov-14-2020,16068.098174684,16131.798573711,15796.54343862,15961.34578839,31319340855.48677,296296699173.90576
Nov-13-2020,16320.047202877,16320.047202877,15725.309160914,16083.588047602,36181426857.15586,296890514838.0307
Nov-12-2020,16297.187308657,16463.293772256,15984.115886145,16316.137259339,46113488949.94295,301643276630.3249
Nov-11-2020,15691.609029632,16299.943642833,15492.641331258,16279.270538159,42629399358.63863,294819304889.72314
Nov-10-2020,15297.95996981,15949.504404586,15282.011824356,15687.480248155,34076621281.51302,288682936493.8948
Nov-09-2020,15313.694553525,15429.005972833,15104.414981969,15280.16349114,42038978766.00832,283781645786.3733
Nov-08-2020,15478.313162689,15798.201003642,14836.543568078,15326.156847868,39301152286.42476,284840712675.19946
Nov-07-2020,14815.051319972,15613.433272935,14748.256936569,15499.081293284,44191246290.48436,281457720322.22363
Nov-06-2020,15568.616616084,15741.75486188,14448.630728465,14821.983251777,43966023319.82191,284108062641.75586
Nov-05-2020,15589.384002602,15922.325592996,15204.987932447,15547.052549124,64505570471.967636,288455228523.34344
Nov-04-2020,14140.354542161,15710.756207542,14100.780242686,15558.525408402,45894350397.81075,272633809887.8374
Nov-03-2020,14017.051388679,14212.511632163,13589.969148761,14132.96094433,36787608742.723,257381109205.72293
Nov-02-2020,13556.446654126,14034.321131344,13304.122320606,13973.248876644,31957453140.12342,252079847197.62527
Nov-01-2020,13760.888840264,13826.961490536,13269.505306607,13576.968475843,28341039633.36889,251772697765.86133
Oct-31-2020,13794.548579995,13881.86907219,13629.063928135,13735.006857626,27500088064.669514,254930532220.35904
Oct-30-2020,13554.960433884,13984.749251489,13431.717613355,13795.526547596,32985934324.839626,254384806361.32748
Oct-29-2020,13456.609309997,13661.960099167,13151.416225459,13568.837248108,35824994060.33563,248695600092.55972
Oct-28-2020,13276.349224381,13629.991957156,12987.72993908,13443.531522235,35824326414.72994,246797158758.76465
Oct-27-2020,13639.746153222,13837.306744368,12960.025985765,13275.481261315,40460863642.23352,249011575352.0386
Oct-26-2020,13057.489332144,13775.681647134,13057.489332144,13651.54050526,32537705770.876247,247385893170.58356
